id_produto;nome_produto;cores_disponiveis;cor_padrao;status;observacoes
1;Vibrador Ponto G em Formato de Golfinho em ABS;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
vibrador-magesty;Basebal Bat Vibrador com Apar?ncia Real?stica com 10 Modos Vai e Vem e Vibra??o;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
basebal-bat;Basebal Bat Vibrador com Aparencia Realistica com 10 Modos Vai e Vem e Vibracao;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
bullet-vibratorio;Bullet Vibratorio com 10 Modos de Vibracao Recarregavel e Controle por Aplicativo;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
estimulador-porquinho;Estimulador Feminino Porquinho com 10 Modos de Ondas de Pressao;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
mini-toy-varinha;Mini Toy Vibrador Varinha Magica com 20 Modos de Vibracoes e 8 Niveis e Velocidade;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
sophie-rosa;Sophie Vibrador Formato de Rosa com 10 Modos de Vibracao, Vai e Vem e Pulsacao;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
ponto-g-30;Vibrador Ponto G com 30 Modos de Vibracao;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
ponto-g-linguagem;Vibrador Ponto G com Estimulador de Clitoris Lingua com 10 Modos de Vibracao e Aquecimento;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
1;Vibrador Ponto G em Formato de Golfinho em ABS;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
vibrador-rotativo;Vibrador Rotativo Vai e Vem com 36 Nivel de Pulsacao e Estimulador;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
kuloko-gel;Kuloko Gel Dessensibilizante e Excitante Anal Linha Brasileirinhos 15g;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
xana-loka-gel;Xana Loka Gel Excitante Feminino Linha Brasileirinhos 15g;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
chabata;Chabata;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
chicote;Chicote;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
corda;Corda;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
kit-sado;Kit Sado;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
sado;Sado;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
lingerie-branco-fio;Lingerie Branco Fio (Frente e Costas);roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
lingerie-parte;Lingerie Parte (Frente e Costas);roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
lingerie-pluz;Lingerie Pluz (Frente e Costas);roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
lingerie-hl074-rosa;Lingerie Rosa Claro com Branco;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
lingerie-hl074-vermelho;Lingerie Vermelho com Preto;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
lingerie-hl680-vermelho;Lingerie Vermelho;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
lingerie-hl680-preto;Lingerie Preto;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
lingerie-hl717-pink;Lingerie Pink;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
lingerie-hl717-preto;Lingerie Preto HL717;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
lingerie-hl772-azul;Lingerie Azul;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
lingerie-hl772-vermelho;Lingerie Vermelho HL772;roxo|preto|pink|rosa|vermelho;roxo;ATIVO;
