Número do produto;Nome do produto;Valor;Valor sem taxas;Taxa de imposto;Preço original;Categorias;Breve descrição;URL do produto;Etiqueta do produto;Unidades disponíveis;Visualização do produto na loja;SEO Título da página;SEO Palavras-chave;SEO Descrição;URL da imagem do produto;Peso;Largura;Comprimento;Altura;Preço unitário;Unidade;Quantidade na embalagem;Quantidade da unidade base;Availability
1;YUMMY GEL TÉRMICO BEIJÁVEL 15 ML;18.00;18.00;0;;Tigelas e copos;"<p class=""""><strong>Yummy Gel Térmico Beijável</strong></p><p class="""">Gel térmico beijável ideal para intensificar a intimidade e proporcionar novas experiências sensoriais. Com efeito que aquece e refresca, potencializa o prazer durante o sexo oral e massagens sensuais. Disponível nos sabores morango, menta, framboesa, ice menta, chiclete, caipirinha e chocolate.</p><p class=""""><strong>Modo de uso:</strong> Aplique uma pequena quantidade na pele e espalhe suavemente. Para maior intensidade, reaplique conforme desejado.</p><p class=""""><strong>Ficha Técnica:</strong><br>• Contém: 15ml<br>• Embalagem: Frasnaga<br>• Validade: Vide embalagem</p><p class=""""><strong>Composição:</strong> Aqua, Glycerin, Aroma, Carboxymethyl Cellulose, Vanillyl Butyl Ether, Disodium EDTA, Sodium Benzoate.</p><p></p><p class=""""><strong>Cuidados e precauções:</strong><br>• Uso adulto (+18)<br>• Evitar contato com os olhos<br>• Suspender o uso em caso de irritação<br>• Manter fora do alcance de crianças e ao abrigo do calor e luz solar<br>• Não utilizar sobre a pele irritada ou lesionada</p>";copo-alto31;;;1;;;;https://15a21084dd.cbaul-cdnwnd.com/a74adc5ad91b74be1ba903304180ff76/200000102-080890808b/Captura_de_tela_2023-08-24_105008-removebg-preview-1.png?ph=15a21084dd;;;;;0;;;;DO_NOT_SHOW
2;BABALOO GEL DESLIZANTE ICE 60G;50.00;50.00;0;;Novos produtos/Tigelas e copos;"<p>O <strong>Babaloo</strong> é um <strong>Gel Ice Super Deslizante </strong>da <strong>Hot Flowers</strong>, um produto com formulação à base de água, com alto poder de lubrificação que traz um maior conforto nas relações.</p><h3><strong>Como o Gel Deslizante Ice funciona?</strong></h3><p>Com um delicioso aroma que remete ao docinho que tanto amamos o Babaloo Gel Deslizante Ice é a escolha perfeita para o casal que deseja uma noite memorável, ideal para ser usado durante a <strong>masturbação</strong>,<strong> massagens sensuais</strong> ou <strong>penetração</strong>, ou seja, tudo o que você mais desejava para dar aquele toque instigante e saboroso em seus momentos de <strong>prazer</strong>.</p><h3><strong>Como usar o Gel Deslizante?</strong></h3><p><br></p><ol><li>Aplicar na ponta dos dedos ou diretamente na região desejada;<br></li><li>Massagear levemente antes de iniciar a penetração;<br></li><li>Pode ser usado com preservativos e brinquedos sexuais.</li></ol><h3><strong><em>Principais dúvidas sobre o Gel Deslizante Ice</em></strong></h3>";copo-de-vidro1;;;1;;;;https://15a21084dd.cbaul-cdnwnd.com/a74adc5ad91b74be1ba903304180ff76/200000042-7a3087a30a/Captura_de_tela_2025-03-22_111141-removebg-preview.png?ph=15a21084dd;;;;;1;g;1;1;DO_NOT_SHOW
3;LOVE LUB BUBBALOVE LUBRIFICANTE CORPORAL BEIJÁVEL 60G;40.00;40.00;0;;Novos produtos/Tigelas e copos;<p>s</p>;prato-de-vidro;Novidade;;1;;;;https://15a21084dd.cbaul-cdnwnd.com/a74adc5ad91b74be1ba903304180ff76/200000044-e0d9de0d9e/Captura_de_tela_2025-03-22_105958-removebg-preview.png?ph=15a21084dd;;;;;0;;;;DO_NOT_SHOW
4;VIBRATION GEL EXCITANTE QUE VIBRA 17ML ;75.00;75.00;0;;Novos produtos/Tigelas e copos;<p>s</p>;jarro-alto;Novidade;;1;;;;https://15a21084dd.cbaul-cdnwnd.com/a74adc5ad91b74be1ba903304180ff76/200000052-41ecb41ecd/Captura_de_tela_2025-03-25_213708-removebg-preview.png?ph=15a21084dd;;;;;0;;;;DO_NOT_SHOW
5;XANA LOKA EXCITANTE FEMININO 15G ;20.00;20.00;0;;Novos produtos/Tigelas e copos;"<h1 class=""font-black min-[767px]:text-2xl uppercase"">Xana Loka Excitante Feminino 15g&nbsp;</h1>";pote-de-acucar1;Novidade;;1;;;;https://15a21084dd.cbaul-cdnwnd.com/a74adc5ad91b74be1ba903304180ff76/200000048-a7668a766b/Captura_de_tela_2025-03-25_213950-removebg-preview.png?ph=15a21084dd;;;;;0;;;;DO_NOT_SHOW
6;KULOKO GEL DESSENSIBILIZANTE E EXCITANTE ANAL LINHA BRASILEIRINHOS 15G ;20.00;20.00;0;;Tigelas e copos;<p>s</p>;jarro-redondo;Novidade;;1;;;;https://15a21084dd.cbaul-cdnwnd.com/a74adc5ad91b74be1ba903304180ff76/200000014-caac7caac8/Captura%20de%20tela%202025-03-25%20192104.png?ph=15a21084dd;;;;;0;;;;DO_NOT_SHOW
7;SIRI RYKA GEL COMESTÍVEL ESQUENTA, GELA E VIBRA 18G ;22.00;22.00;0;;Tigelas e copos;<p>Architecto beatae vitae dicta sunt explicabo nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt neque porro quisquam est qui dolorem.</p>;copo-alto;;;1;;;;https://15a21084dd.cbaul-cdnwnd.com/a74adc5ad91b74be1ba903304180ff76/200000018-bc041bc044/Captura%20de%20tela%202025-03-25%20200955.png?ph=15a21084dd;;;;;0;;;;DO_NOT_SHOW
8;PIKASSO GEL COMESTÍVEL ESQUENTA, GELA E VIBRA 18G ;22.00;22.00;0;;Tigelas e copos;;pikasso-gel-comestivel-esquenta-gela-e-vibra-18g;;;1;;;;https://15a21084dd.cbaul-cdnwnd.com/a74adc5ad91b74be1ba903304180ff76/200000028-d37e7d37ea/Captura%20de%20tela%202025-03-25%20201941.png?ph=15a21084dd;;;;;0;;;;DO_NOT_SHOW
9;NURU MAX PREMIUM GEL DE MASSAGEM COM ALTA VISCOSIDADE 250ML;100.00;100.00;0;;Tigelas e copos;;nuru-max-premium-gel-de-massagem-com-alta-viscosidade-250ml;;;1;;;;https://15a21084dd.cbaul-cdnwnd.com/a74adc5ad91b74be1ba903304180ff76/200000026-a9beda9bf0/Captura%20de%20tela%202025-03-25%20201844.png?ph=15a21084dd;;;;;0;;;;DO_NOT_SHOW
10;LIS-IN GEL DESSENSIBILIZANTE ANAL 30G ;65.00;65.00;0;;Tigelas e copos;<p>teste</p>;caneca-de-vidro;;;1;;;;https://15a21084dd.cbaul-cdnwnd.com/a74adc5ad91b74be1ba903304180ff76/200000024-a6bfca6bff/Captura%20de%20tela%202025-03-25%20201409.png?ph=15a21084dd;;;;;0;;;;DO_NOT_SHOW
